uid,pid,tstamp,lmuser_id,crdate,cruser_id,deleted,hidden,area_id,category_id
1,754,1345708865,103,1345708865,103,0,0,1,2
2,754,1345708865,103,1345708865,103,0,0,1,3
3,754,1345708865,103,1345708865,103,0,0,1,5
4,754,1345708865,103,1345708865,103,0,0,1,11
5,754,1345708865,103,1345708865,103,0,0,1,14
6,754,1345708865,103,1345708865,103,0,0,1,15
7,754,1345708865,103,1345708865,103,0,0,1,17
8,754,1345708865,103,1345708865,103,0,0,1,20
9,754,1345708865,103,1345708865,103,0,0,1,21
10,754,1345708865,103,1345708865,103,0,0,1,22
11,754,1345708865,103,1345708865,103,0,0,1,25
12,754,1345708865,103,1345708865,103,0,0,1,26
13,754,1345708865,103,1345708865,103,0,0,1,27
14,754,1345708865,103,1345708865,103,0,0,1,28
15,754,1345708865,103,1345708865,103,0,0,1,29
16,754,1345708865,103,1345708865,103,0,0,1,30
17,754,1345708865,103,1345708865,103,0,0,1,31
18,754,1345708865,103,1345708865,103,0,0,1,32
19,754,1345708865,103,1345708865,103,0,0,1,33
20,754,1345708865,103,1345708865,103,0,0,1,34
21,754,1345708865,103,1345708865,103,0,0,1,35
22,754,1345708865,103,1345708865,103,0,0,1,36
23,754,1345708865,103,1345708865,103,0,0,1,37
24,754,1345708865,103,1345708865,103,0,0,1,38
25,754,1345708865,103,1345708865,103,0,0,1,39
26,754,1345708865,103,1345708865,103,0,0,1,40
27,754,1345708865,103,1345708865,103,0,0,1,41
28,754,1345708865,103,1345708865,103,0,0,1,42
29,754,1345708865,103,1345708865,103,0,0,1,43
30,754,1345708865,103,1345708865,103,0,0,1,44
31,754,1345708865,103,1345708865,103,0,0,1,45
32,754,1345708865,103,1345708865,103,0,0,1,47
33,754,1345708865,103,1345708865,103,0,0,1,48
34,754,1345708865,103,1345708865,103,0,0,1,49
35,754,1345708865,103,1345708865,103,0,0,1,50
36,754,1345708865,103,1345708865,103,0,0,1,51
37,754,1345708865,103,1345708865,103,0,0,1,52
38,754,1345708865,103,1345708865,103,0,0,1,53
39,754,1345708865,103,1345708865,103,0,0,1,54
40,754,1345708961,103,1345708961,103,0,0,2,2
41,754,1345708961,103,1345708961,103,0,0,2,3
42,754,1345708961,103,1345708961,103,0,0,2,4
43,754,1345708961,103,1345708961,103,0,0,2,5
44,754,1345708961,103,1345708961,103,0,0,2,6
45,754,1345708961,103,1345708961,103,0,0,2,7
46,754,1345708961,103,1345708961,103,0,0,2,8
47,754,1345708961,103,1345708961,103,0,0,2,9
48,754,1345708961,103,1345708961,103,0,0,2,10
